isolate.code,growth_rate,growth_rate_mean,Mean.x,SD,Mean.y,topt,w,a,b,z,source,latitude,longitude,habitat,name,speciesname,former.name.1,former.name.2,strain,clone,species,genus,family,order,class,phylum,kingdom,domain,comment,group,mu.rsqrlist,mu.slist,mu.c.opt.val.list,mu.g.opt.val.list,mu.n,emp.max.growth,tmin,tmax,minqual,maxqual,curvequal,abs.curveskew,rel.curveskew,used.for.optimum.analysis,used.for.tmax.analysis,used.for.tmin.analysis,used.for.niche.width.analysis,used.for.max.growth.rate.analysis,temperature,predicted_growth_variable,predicted_growth_constant,der
193,0.271886511424269,0.3673432786116852,14.323,5.6268,14.323,22.34979059,25.90952427,0.214694593,0.046231645,18.76532106,"Great South Bay, Long Island, NY, USA",40.68,-73.13,estuarine,Picochlorum atomus,Picochlorum atomus,Nannochloris atomus,NA,NA,NA,atomus,Picochlorum,NA,Chlorellales,Trebouxiophyceae,Chlorophyta,Plantae,Eukaryota,NA,greens,0.947888583,0.047697224,0.51120372,0.557151255,6,0.554517744,5.810558927,31.7200832,good,good,good,-251.0325374,-0.014432837,1,1,1,1,1,14.323,0.3334955835116484,0.3673432786116852,-0.00213814
194,0.2562118084069838,0.32493599921816163,14.323,5.6268,14.323,13.46490003,29.28736549,0.410273901,-0.01605096,15.16337582,"Great South Bay, Long Island, NY, USA",40.68,-73.13,estuarine,Phaeodactylum tricornutum,Phaeodactylum tricornutum,Nitzschia closterium forma minutissima,NA,NA,NA,tricornutum,Phaeodactylum,Phaeodactylaceae,Naviculales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,NA,diatoms,0.988172045,0.012258875,0.321641717,0.326084364,6,0.332710647,0.519693072,29.80705856,good,good,good,155.6200846,0.006194763,1,1,1,1,1,14.323,0.27682856116761123,0.32493599921816163,-0.00303892
195,0.1809416837059556,0.25911857807494887,14.323,5.6268,14.323,21.44435136,27.61078035,0.218276067,0.022069648,19.38814744,"Great South Bay, Long Island, NY, USA",40.68,-73.13,estuarine,Stichococcus (possibly S. cylindricus),Stichococcus,NA,NA,NA,NA,NA,Stichococcus,Prasiolaceae,Prasiolales,Trebouxiophyceae,Chlorophyta,Plantae,Eukaryota,NA,greens,0.915073026,0.037356887,0.334839131,0.34261124,6,0.332710647,5.582757264,33.19353761,good,good,good,-167.0029252,-0.007933924,1,1,1,1,1,14.323,0.22249628191034965,0.25911857807494887,-0.00231341
221,0.3355332150300201,0.4917355704255732,12.7421,5.10631,12.7421,10.27695763,19.05000777,0.568095124,-0.007279955,10.60633402,"Cape Cod, MA, USA",41.9,-70.32,marine,Rhizosolenia setigera,Rhizosolenia setigera,NA,NA,NA,NA,setigera,Rhizosolenia,Rhizosoleniaceae,Rhizosoleniales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,NA,diatoms,0.938278532,0.05263395,0.525881151,0.526513293,8,0.554517744,1.081330133,20.1313379,good,good,good,12.79631441,0.00185097,1,1,1,1,1,12.7421,0.3478974365271484,0.4917355704255732,-0.0110329
225,0.1523369962227719,0.17742374155343105,16.107,2.16235,16.107,24.11874221,21.82143905,0.02149366,0.133772571,18.36798455,"Galician Rias Bajas, northwest Spain",42.43,-8.95,estuarine,Gymnodinium catenatum,Gymnodinium catenatum,NA,NA,NA,NA,catenatum,Gymnodinium,Gymnodiniaceae,Gymnodiniales,Dinophyceae,Dinophyta,Chromista,Eukaryota,NA,dinoflagellates,0.861921563,0.048910183,0.250858872,0.391005312,13,0.372220036,7.457265026,29.27870408,good,good,good,-233.9323352,-0.022513348,1,1,1,1,1,16.107,0.1819696532895312,0.17742374155343105,0.00194446
233,0.19925367083037362,0.23114928658322048,9.82856,4.83012,9.82856,16.96930785,21.04352298,0.127795925,0.072778795,13.40371123,"off Monhegan Island, Gulf of Maine, USA",43.56,-69.45,marine,Alexandrium fundyense strain MI,Alexandrium fundyense,NA,NA,MI,NA,fundyense,Alexandrium,Gonyaulacaceae,Gonyaulacales,Dinophyceae,Dinophyta,Chromista,Eukaryota,NA,dinoflagellates,0.914589114,0.060692798,0.338979831,0.388951738,5,0.462,2.881949739,23.92547272,good,good,good,-161.0599414,-0.01728352,1,1,1,1,1,9.82856,0.21901905559528534,0.23114928658322048,-0.00103988
239,0.12329538138150022,0.14075434773695653,8.40905,5.05451,8.40905,15.75863192,22.14423931,0.115588933,0.046625478,13.07049983,Bay of Fundy,44.7,-66.51,marine,Alexandrium fundyense strain BoF,Alexandrium fundyense,NA,NA,BoF,NA,fundyense,Alexandrium,Gonyaulacaceae,Gonyaulacales,Dinophyceae,Dinophyta,Chromista,Eukaryota,NA,dinoflagellates,0.894091384,0.035083401,0.212609792,0.226793821,5,0.28,1.998380173,24.14261948,good,good,good,-138.5628467,-0.012760406,1,1,1,1,1,8.40905,0.12450807369107354,0.14075434773695653,-0.00127182
240,0.7716862411418585,0.8944689016069501,11.96475,3.11544,11.96475,13.7308047,19.75950202,0.898999398,0.0019933,13.63229011,Northeast Pacific,45,-145,marine,Pseudo-nitzschia granii,Pseudo-nitzschia granii,NA,NA,NA,NA,granii,Pseudo-nitzschia,Bacillariaceae,Bacillariales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,NA,diatoms,0.868516311,0.053594244,0.923763061,0.923852611,10,0.949,3.752539098,23.51204112,good,good,good,-4.14182542,-5.36863e-4,1,1,1,1,1,11.96475,0.8035434084317054,0.8944689016069501,-0.018736
299,0.03498855015471906,0.05245922866144307,10.1167,5.45965,10.1167,22.88156927,23.24187898,0.189862773,0.035809149,20.56048344,"Büsum harbour, Wadden Sea, Germany",54.12,8.86,marine,Fibrocapsa japonica strain CCRuG-C13,Fibrocapsa japonica,NA,NA,CCRuG-C13,NA,japonica,Fibrocapsa,Chattonellaceae,Chattonellales,Raphidophyceae,Ochrophyta,Chromista,Eukaryota,NA,raphidophytes,0.961935418,0.028886631,0.396452002,0.413625194,8,0.403,8.939543951,32.18142293,good,good,good,-132.809926,-0.010578323,1,1,1,1,1,10.1167,0.03828847680700502,0.05245922866144307,-9.50809e-4
320,0.014024848382242893,0.023648248547012547,10.1395,5.07236,10.1395,20.33422812,17.1849883,0.046075786,0.079387433,17.68193749,"Limfjord, Denmark",56.57,9.07,estuarine,Alexandrium ostenfeldii clone LF-37,Alexandrium osterfeldii,NA,NA,NA,LF-37,osterfeldii,Alexandrium,Gonyaulacaceae,Gonyaulacales,Dinophyceae,Dinophyta,Chromista,Eukaryota,NA,dinoflagellates,0.989714731,0.007902529,0.187543569,0.209440455,10,0.221807098,9.089443345,26.27443164,good,good,good,-80.89021905,-0.015938531,1,1,1,1,1,10.1395,0.03265978620978293,0.023648248547012547,7.00501e-4
324,0.07736397146849294,0.128968265945731,8.62148,5.53396,8.62148,2.849833517,13.25211812,0.401869671,-0.059491039,4.107868132,Northern Baltic,58.88,20.32,marine,Gymnodinium corollarium clone GCTV-B4,Gymnodinium corollarium,NA,NA,GCTV-B4,NA,corollarium,Gymnodinium,Gymnodiniaceae,Gymnodiniales,Dinophyceae,Dinophyta,Chromista,Eukaryota,NA,dinoflagellates,0.862814267,0.038124931,0.314739871,0.326972173,6,0.326472322,-2.518190927,10.73392719,good,good,good,25.14915164,0.012772086,1,1,1,1,1,8.62148,0.05825319987788766,0.128968265945731,-0.00461817
332,0.8291402226609028,1.0335933365868175,9.97452,5.37817,9.97452,17.31784002,27.49831648,1.038089274,0.018146084,15.62970931,"Oslofjord, Norway",59.45,10.52,estuarine,Heterocapsa rotundata,Heterocapsa rotundata,Katodinium rotundatum,NA,NA,NA,rotundata,Heterocapsa,Heterocapsaceae,Peridiniales,Dinophyceae,Dinophyta,Chromista,Eukaryota,NA,dinoflagellates,0.966581422,0.081698504,1.378505304,1.39995891,5,1.455609079,1.880551068,29.37886755,good,good,good,-136.2308447,-0.006551747,1,1,1,1,1,9.97452,0.8872313986181286,1.0335933365868175,-0.0101202
335,0.47719544494526345,0.6857295745064635,9.97452,5.37817,9.97452,14.42134085,21.11055033,0.591327096,0.024055187,13.10100517,"Oslofjord, Norway",59.45,10.52,estuarine,Olisthodiscus luteus,Olisthodiscus luteus,NA,NA,NA,NA,luteus,Olisthodiscus,Chattonellaceae,Chattonellales,Raphidophyceae,Ochrophyta,Chromista,Eukaryota,NA,raphidophytes,0.999995986,3.64292e-4,0.810390684,0.823453208,4,0.821379409,2.545730008,23.65628033,good,good,good,-62.83232697,-0.006678585,1,1,1,1,1,9.97452,0.5256746776171254,0.6857295745064635,-0.011067
337,0.6123077743719244,0.9297784346293106,9.97452,5.37817,9.97452,12.38210733,23.87069743,1.395254111,-0.02690445,14.25278542,"Oslofjord, Norway",59.45,10.52,estuarine,Pseudopedinella pyriformis,Pseudopedinella pyriformis,NA,NA,NA,NA,pyriformis,Pseudopedinella,Pedinellaceae,Pedinellales,Dictyochophyceae,Ochrophyta,Chromista,Eukaryota,NA,dictyochophytes,0.999999736,2.84854e-4,0.95086157,0.975378553,4,0.960701992,2.317436705,26.18813413,good,good,good,113.5267935,0.008346474,0,0,0,0,0,9.97452,0.6730195462752351,0.9297784346293106,-0.0177536
338,-0.1522682089978838,0.4648689731260533,9.97452,5.37817,9.97452,17.2638359,20.0000797,1.514161712,-0.014802572,18.00037467,"Oslofjord, Norway",59.45,10.52,estuarine,Pyramimonas disomata,Pyramimonas disomata,NA,NA,NA,NA,disomata,Pyramimonas,Pyramimonadaceae,Pyramimonadales,Prasinophyceae,Chlorophyta,Plantae,Eukaryota,NA,greens,0.999999985,7.448e-4,1.159988534,1.16634295,4,1.103490311,8.000334816,28.00041452,good,good,good,31.53522351,0.003941856,1,1,1,1,1,9.97452,-0.0012831405476465552,0.4648689731260533,-0.0322321
344,0.07326597867539103,0.06843847668443001,9.97452,5.37817,9.97452,20.74705841,21.24833577,0.041685678,0.094295034,16.34041288,"Drøbak Sound, Oslofjord, Norway",59.67,10.61,estuarine,Biceratium furca,Biceratium furca,Ceratium furca,NA,NA,NA,furca,Biceratium,Ceratiaceae,Gonyaulacales,Dinophyceae,Dinophyta,Chromista,Eukaryota,NA,dinoflagellates,0.970213941,0.015159121,0.194606076,0.244133011,5,0.2335906,5.716244997,26.96458077,good,good,good,-193.9574242,-0.020217695,1,1,1,1,1,9.97452,0.08272620000686602,0.06843847668443001,9.87925e-4
345,0.06610182590892949,0.12774075976415822,9.97452,5.37817,9.97452,16.12133425,24.38762759,0.23375506,-0.015855164,17.28974264,"Drøbak Sound, Oslofjord, Norway",59.67,10.61,estuarine,Neoceratium fusus,Neoceratium fusus,Ceratium fusus var. seta,NA,NA,NA,fusus,Neoceratium,Ceratiaceae,Gonyaulacales,Dinophyceae,Dinophyta,Chromista,Eukaryota,NA,dinoflagellates,0.94603317,0.01537519,0.177708064,0.179368722,5,0.202398977,5.09592885,29.48355644,good,good,good,74.31103007,0.005123239,1,1,1,1,1,9.97452,0.08037871231877564,0.12774075976415822,-0.00327485
346,0.09563328255663606,0.0944989963329733,9.97452,5.37817,9.97452,21.50728615,27.64601878,0.047242363,0.084589558,15.14056168,"Drøbak Sound, Oslofjord, Norway",59.67,10.61,estuarine,Neoceratium lineatum,Neoceratium lineatum,Ceratium lineatum,NA,NA,NA,lineatum,Neoceratium,Ceratiaceae,Gonyaulacales,Dinophyceae,Dinophyta,Chromista,Eukaryota,NA,dinoflagellates,0.966041916,0.013038204,0.170038422,0.229555601,5,0.2335906,1.317552291,28.96357107,good,good,good,-454.8276773,-0.021525294,1,1,1,1,1,9.97452,0.1021827305227384,0.0944989963329733,5.31292e-4
358,0.05795808214426713,0.05926728096820375,8.5675975,2.01779,8.5675975,21.71487,21.22175864,0.046143218,0.123467527,16.46564248,Norwegian Sea,66,2,marine,Emiliania huxleyi clone M,Emiliania huxleyi,Coccolithus huxleyi,NA,NA,M,huxleyi,Emiliania,Noëlaerhabdaceae,Isochrysidales,Coccolithophyceae,Haptophyta,Chromista,Eukaryota,NA,coccolithophores,0.979850053,0.02424301,0.352384236,0.508848689,5,0.493520793,5.854763159,27.07652179,good,good,good,-212.0601008,-0.022187831,1,1,1,1,1,8.5675975,0.0656734438551988,0.05926728096820375,0.00314685
363,0.19575003995471868,0.177268320063502,-0.524674,1.63486,-0.524674,6.607881357,17.02073564,0.532698862,0.005145767,6.422238524,"Baffin Bay, Canada",76.28,-74.75,marine,Micromonas sp. strain CCMP2099,Micromonas,NA,NA,CCMP2099,NA,NA,Micromonas,Mamiellaceae,Mamiellales,Mamiellophyceae,Chlorophyta,Plantae,Eukaryota,NA,greens,0.983329854,0.023322082,0.550597263,0.550861241,8,0.555,-2.088129293,14.93260634,good,good,good,-5.257528922,-0.001122253,1,1,1,1,1,-0.524674,0.15907091808721638,0.177268320063502,-0.0136169
364,0.4606122791469053,0.440153846042298,21.1668,3.40307,21.1668,25.44666293,17.48573979,0.023559033,0.138328577,21.33228231,"Gulf stream current, North Atlantic",37.51,-68.24,marine,Prochlorococcus marinus strain MIT9312 (clade 1),Prochlorococcus marinus,NA,NA,MIT9312,NA,marinus,Prochlorococcus,Synechococcaceae,Synechococcales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,NA,cyanobacteria,0.948104085,0.045137169,0.450506977,0.619660285,14,0.623,12.58941241,30.0751522,good,good,good,-116.2506921,-0.021744204,1,1,1,1,1,21.1668,0.42526470698249397,0.440153846042298,-0.00257133
365,0.47024130197024,0.49191685549733505,26.534575,1.1180325,26.534575,27.19960463,19.49300738,0.047381267,0.092117236,23.46848259,Equatorial Pacific,0,-140,marine,Prochlorococcus marinus strain MIT9215 (clade 1),Prochlorococcus marinus,NA,NA,MIT9215,NA,marinus,Prochlorococcus,Synechococcaceae,Synechococcales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,NA,cyanobacteria,0.936679338,0.041568162,0.411610977,0.495373898,15,0.498,13.7219789,33.21498628,good,good,good,-141.2215855,-0.019066217,1,1,1,1,1,26.534575,0.4832836909888515,0.49191685549733505,-0.0138131
367,0.3889441580799419,0.5795365520877945,24.6884,3.5847,24.6884,28.23945961,18.26731291,0.048114155,0.100802576,24.67548993,"Mississippi Sound, USA",30.23,-88.8,marine,Alexandrium monilatum,Alexandrium monilatum,NA,NA,NA,NA,monilatum,Alexandrium,Gonyaulacaceae,Gonyaulacales,Dinophyceae,Dinophyta,Chromista,Eukaryota,NA,dinoflagellates,0.999936742,0.003351597,0.578784,0.702755015,4,0.599,15.54183347,33.80914638,good,good,good,-117.9658156,-0.019352281,1,1,1,1,1,24.6884,0.5278702591941316,0.5795365520877945,-0.0080414
462,1.008587806136379,1.1939001748435392,20.5919,4.06756,20.5919,24.35209536,25.40048379,0.732335127,0.024733323,22.40379646,"Dokai Bay, Japan",33.93,130.83,marine,Skeletonema tropicum strain FDK199,Skeletonema tropicum,NA,NA,FDK199,NA,tropicum,Skeletonema,Skeletonemaceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,NA,diatoms,0.978036086,0.075941098,1.274562902,1.306009536,6,1.219,9.703554566,35.10403836,good,good,good,-133.8892942,-0.008169959,1,1,1,1,1,20.5919,1.0861373374552363,1.1939001748435392,-0.0130266
463,0.9379156982221367,1.0919363536513251,20.5919,4.06756,20.5919,26.07774814,25.8079144,0.378761746,0.052124454,22.14230025,"Dokai Bay, Japan",33.93,130.83,marine,Skeletonema tropicum strain FDK202,Skeletonema tropicum,NA,NA,FDK202,NA,tropicum,Skeletonema,Skeletonemaceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,NA,diatoms,0.962948577,0.100506393,1.201183595,1.337515223,6,1.303,9.238343046,35.04625745,good,good,good,-270.964112,-0.015763514,1,1,1,1,1,20.5919,1.0241848933746638,1.0919363536513251,-0.00818994
464,1.192799083964814,1.398110670357521,20.5919,4.06756,20.5919,25.88285886,25.47055925,0.535472048,0.047518686,22.32859939,"Dokai Bay, Japan",33.93,130.83,marine,Skeletonema tropicum strain FDK204,Skeletonema tropicum,NA,NA,FDK204,NA,tropicum,Skeletonema,Skeletonemaceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,NA,diatoms,0.976000304,0.102642379,1.547157078,1.689144463,6,1.55,9.593319764,35.06387902,good,good,good,-240.3529255,-0.014545678,1,1,1,1,1,20.5919,1.302886494832594,1.398110670357521,-0.0115109
465,1.0777906968481914,1.2383950814532771,20.5919,4.06756,20.5919,26.76665394,26.28715863,0.328153077,0.064992388,21.91759917,"Dokai Bay, Japan",33.93,130.83,marine,Skeletonema tropicum strain FDK205,Skeletonema tropicum,NA,NA,FDK205,NA,tropicum,Skeletonema,Skeletonemaceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,NA,diatoms,0.953670427,0.134626313,1.363700583,1.614531757,6,1.561,8.77401985,35.06117848,good,good,good,-336.66954,-0.018534159,1,1,1,1,1,20.5919,1.1824929337669987,1.2383950814532771,-0.00675757
466,1.1567979430911415,1.359222818994354,20.5919,4.06756,20.5919,26.09600946,25.15350032,0.494205098,0.050212467,22.45761298,"Dokai Bay, Japan",33.93,130.83,marine,Skeletonema tropicum strain FDK207,Skeletonema tropicum,NA,NA,FDK207,NA,tropicum,Skeletonema,Skeletonemaceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,NA,diatoms,0.991565261,0.060250058,1.526301489,1.678898259,6,1.55,9.880862819,35.03436314,good,good,good,-239.1879041,-0.015029479,1,1,1,1,1,20.5919,1.2694361722962375,1.359222818994354,-0.0108536
467,1.5446784082970169,1.7229412255252845,20.5919,4.06756,20.5919,25.75313498,32.72584887,1.203224637,0.01878021,23.2961221,"Dokai Bay, Japan",33.93,130.83,marine,Skeletonema menzelii strain FDK221,Skeletonema menzelii,NA,NA,FDK221,NA,menzelii,Skeletonema,Skeletonemaceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,NA,diatoms,0.906598805,0.218233868,1.863602057,1.907606139,7,2.114,6.933197671,39.65904654,good,good,good,-280.305514,-0.007997585,1,1,1,1,1,20.5919,1.6296288298754158,1.7229412255252845,-0.0112798
470,1.6743961516220403,1.8696214091037144,20.5919,4.06756,20.5919,23.53551391,32.26560075,1.90044814,7.42761e-4,23.43937585,"Dokai Bay, Japan",33.93,130.83,marine,Skeletonema menzelii strain FDK222,Skeletonema menzelii,NA,NA,FDK222,NA,menzelii,Skeletonema,Skeletonemaceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,NA,diatoms,0.926430947,0.193294036,1.933824355,1.933893771,7,1.961,7.306575472,39.57217622,good,good,good,-10.70040042,-3.18552e-4,1,1,1,1,1,20.5919,1.7474767919110448,1.8696214091037144,-0.0147651
472,1.005259882714722,1.172344696104989,20.5919,4.06756,20.5919,26.62628439,25.22038322,0.354441974,0.059146707,22.44058866,"Dokai Bay, Japan",33.93,130.83,marine,Skeletonema ardens strain FDK004,Skeletonema ardens,NA,NA,FDK004,NA,ardens,Skeletonema,Skeletonemaceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,NA,diatoms,0.964976194,0.113170544,1.336529455,1.523352378,6,1.452,9.830397047,35.05078026,good,good,good,-272.4632616,-0.016984506,1,1,1,1,1,20.5919,1.1088760860097004,1.172344696104989,-0.00767222
543,0.6497096060360783,0.7382670302664697,19.248,4.25558,19.248,21.34035494,26.01750927,0.249963255,0.057850734,16.992631,"Gulf of Naples, Italy",40.75,14.33,marine,Thalassiosira rotula strain CCMP1647,Thalassiosira rotula,NA,NA,CCMP1647,NA,rotula,Thalassiosira,Thalassiosiraceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,NA,diatoms,0.981516339,0.04126274,0.668041374,0.763126322,15,0.761401997,3.98387636,30.00138563,good,good,good,-300.814304,-0.017080529,1,1,1,1,1,19.248,0.6579297033187027,0.7382670302664697,-0.00887217
544,0.7482697865004937,0.8447078542607255,19.248,4.25558,19.248,18.92418951,29.15346867,0.46598401,0.034532758,15.46187669,"Gulf of Naples, Italy",40.49,14.14,marine,Thalassiosira rotula strain CCMP3264,Thalassiosira rotula,NA,NA,CCMP3264,NA,rotula,Thalassiosira,Thalassiosiraceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,NA,diatoms,0.984946952,0.03731497,0.794801637,0.845209512,15,0.833756499,0.885142355,30.03861102,good,good,good,-309.7660185,-0.012501527,1,1,1,1,1,19.248,0.7564373682873528,0.8447078542607255,-0.00974828
553,0.5839373948151015,0.6397851105971254,17.4779,2.11584,17.4779,19.68540345,20.83908834,0.143393974,0.087349948,15.65293767,"North Atlantic, off Portugal",39.5,-9.33,marine,"Conticribra weissflogii strain CCMP1053, SA",Conticribra weissflogii,Thalassiosira weissflogii,NA,"CCMP1053, SA",NA,weissflogii,Conticribra,Thalassiosiraceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,NA,diatoms,0.993593336,0.019394801,0.562774602,0.680521042,20,0.7,5.233393498,26.07248184,good,good,good,-174.1076078,-0.01923896,1,1,1,1,1,17.4779,0.614817890801649,0.6397851105971254,-0.0111541
556,0.08600220287534008,0.137698983891843,13.9136,1.30216,13.9136,22.25441025,23.16325066,0.502258041,-0.015855758,23.30948304,"Santa Cruz, CA, USA",36.96,-122.02,marine,Akashiwo sanguinea strain RMB,Akashiwo sanguinea,NA,NA,RMB,NA,sanguinea,Akashiwo,NA,NA,Dinophyceae,Dinophyta,Chromista,Eukaryota,NA,dinoflagellates,0.961149589,0.024539727,0.347069304,0.349995337,30,0.355849783,11.72785771,34.89110837,good,good,good,60.54870186,0.004871989,1,1,1,1,1,13.9136,0.1311188565996757,0.137698983891843,-0.00776132
559,0.2691974021307668,0.2764472194581553,27.596800000000002,1.20839,27.596800000000002,27.54945393,18.69199669,0.079034621,0.047094689,25.58324188,"Coral Sea, south of Solomon Islands",-15.05,155.03,marine,Trichodesmium erythraeum strain KO4_20,Trichodesmium erythraeum,NA,NA,KO4_20,NA,erythraeum,Trichodesmium,Phormidiaceae,Oscillatoriales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,NA,cyanobacteria,0.961697075,0.020488429,0.263675931,0.276455485,36,0.306886099,16.23724354,34.92924022,good,good,good,-72.66596858,-0.011126639,1,1,1,1,1,27.596800000000002,0.27112934490599006,0.2764472194581553,-0.00728373
560,0.2543684951170745,0.2582266288588409,27.6951,0.819359,27.6951,27.86970425,18.53136503,0.060990692,0.053843841,25.68728816,"North Atlantic, off French Guiana coast",7.53,-49.25,marine,Trichodesmium erythraeum strain 21_75,Trichodesmium erythraeum,NA,NA,21_75,NA,erythraeum,Trichodesmium,Phormidiaceae,Oscillatoriales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,NA,cyanobacteria,0.949150727,0.022645829,0.243185257,0.258334941,36,0.28,16.42160565,34.95297068,good,good,good,-78.90538474,-0.012398936,1,1,1,1,1,27.6951,0.2559010484769423,0.2582266288588409,-0.00692808
561,0.3512231686059407,0.36060859711952126,27.7296,0.70958,27.7296,29.19234884,13.27893261,0.134031817,0.036070844,28.40861507,"North Atlantic, off French Guiana coast",6.98,-49.33,marine,Crocosphaera watsonii strain 3A,Crocosphaera watsonii,NA,NA,3A,NA,watsonii,Crocosphaera,Cyanobacteriaceae,Chroococcales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,NA,cyanobacteria,0.954405967,0.030634933,0.373455907,0.378811249,24,0.3578,21.76914877,35.04808138,good,good,good,-14.75562713,-0.006301852,1,1,1,1,1,27.7296,0.35676824794097434,0.36060859711952126,-0.0152545
562,0.41383672868248605,0.42882743664727474,25.2241,1.06302,25.2241,28.57219994,13.19843177,0.497188357,0.005046806,28.46102406,"Oahu, Hawaii, USA",21.43,-157.79,marine,Crocosphaera watsonii strain WH005,Crocosphaera watsonii,NA,NA,WH005,NA,watsonii,Crocosphaera,Cyanobacteriaceae,Chroococcales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,NA,cyanobacteria,0.972360037,0.036810922,0.573986686,0.574145833,24,0.5532,21.86180818,35.06023994,good,good,good,-2.084696047,-9.06725e-4,1,1,1,1,1,25.2241,0.4146600302114118,0.42882743664727474,-0.0250748
563,0.5140188211149292,0.5313833319486865,27.0918,0.801327,27.0918,28.7343785,13.18183285,0.395979986,0.012490531,28.46336502,"South Atlantic, off Brazil",-11.7,-32.01,marine,Crocosphaera watsonii strain WH84,Crocosphaera watsonii,NA,NA,WH84,NA,watsonii,Crocosphaera,Cyanobacteriaceae,Chroococcales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,NA,cyanobacteria,0.975579377,0.033907587,0.565034177,0.565991521,24,0.514258769,21.87244859,35.05428144,good,good,good,-5.044987387,-0.002202585,1,1,1,1,1,27.0918,0.5234808926920216,0.5313833319486865,-0.0246134
570,0.4856475440523912,0.5502944817258236,15.7015,2.00006,15.7015,19.11257279,19.50987083,0.12063898,0.096802067,15.23530635,"Ruakaka Bay, Marlborough Sounds, New Zealand",-41.2,174.12,marine,Chrysochromulina ericina,Chryosochromulina ericina,NA,NA,NA,NA,ericina,Chryosochromulina,Prymnesiaceae,Prymnesiales,Coccolithophyceae,Haptophyta,Chromista,Eukaryota,NA,haptophytes,0.986314027,0.031357625,0.527216666,0.646121341,5,0.618980432,5.480370937,24.99024176,good,good,good,-145.6682201,-0.019615602,1,1,1,1,1,15.7015,0.5353293838603559,0.5502944817258236,-0.0074821
571,0.3765846891144513,0.43271840844024145,15.7235,1.99072,15.7235,19.35706278,18.81759478,0.086977869,0.102057233,15.57080306,"Elie Bay, Marlborough Sounds, New Zealand",-41.13,173.99,marine,Chrysochromulina hirta,Chryosochromulina hirta,NA,NA,NA,NA,hirta,Chryosochromulina,Prymnesiaceae,Prymnesiales,Coccolithophyceae,Haptophyta,Chromista,Eukaryota,NA,haptophytes,0.93248361,0.059400329,0.426139513,0.525587714,5,0.488668762,6.162005664,24.97960045,good,good,good,-131.910963,-0.019796506,1,1,1,1,1,15.7235,0.42166856908645967,0.43271840844024145,-0.00557655
572,0.3035857751353052,0.36926716093208206,18.4897,2.04637,18.4897,24.37793178,18.73091256,0.058629588,0.102385489,20.6135443,"Pakiri beach, Hauraki Gulf, New Zealand",-36.25,174.75,marine,Chrysochromulina acantha,Chryosochromulina acantha,NA,NA,NA,NA,acantha,Chryosochromulina,Prymnesiaceae,Prymnesiales,Coccolithophyceae,Haptophyta,Chromista,Eukaryota,NA,haptophytes,0.925397159,0.071320379,0.483846298,0.596437856,5,0.55313145,11.24808802,29.97900057,good,good,good,-129.965038,-0.019776513,1,1,1,1,1,18.4897,0.36686924014018557,0.36926716093208206,-0.00114524
573,0.4040682217438779,0.47282466497452474,18.4897,2.04637,18.4897,23.0221637,19.90133055,0.142910609,0.066046372,20.0431012,"Pakiri beach, Hauraki Gulf, New Zealand",-36.25,174.75,marine,Chrysochromulina simplex,Chryosochromulina simplex,NA,NA,NA,NA,simplex,Chryosochromulina,Prymnesiaceae,Prymnesiales,Coccolithophyceae,Haptophyta,Chromista,Eukaryota,NA,haptophytes,0.998345301,0.009859243,0.536997502,0.595168871,5,0.55313145,10.09243593,29.99376647,good,good,good,-122.2680896,-0.015511964,1,1,1,1,1,18.4897,0.46085235592767293,0.47282466497452474,-0.00571794
